USB2+H08074_1:101,laser on sample,laser off sample,no sample
533.805,440.17,437.68,457.57
534.234,391.02,475.13,546.52
534.663,391.02,454.06,478.64
535.091,442.51,435.34,476.3
535.52,409.74,435.34,525.45
535.949,405.06,475.13,455.23
536.378,451.87,437.68,459.92
536.807,409.74,447.04,370.97
537.236,398.04,468.11,459.92
537.664,405.06,428.32,443.53
538.093,379.31,465.77,473.96
538.521,456.55,470.45,483.32
538.95,360.59,404.91,436.51
539.378,358.25,435.34,555.88
539.807,339.52,433,488
540.235,386.33,442.36,473.96
540.664,444.85,458.74,513.75
541.092,400.38,409.59,387.36
541.52,360.59,360.44,509.07
541.948,421.44,423.64,488
542.376,402.72,472.79,488
542.805,433.15,397.89,516.09
543.233,423.78,395.55,462.26
543.661,416.76,449.38,480.98
544.089,407.4,407.25,495.02
544.517,391.02,468.11,443.53
544.944,351.23,402.57,499.7
545.372,421.44,510.24,462.26
545.8,351.23,386.19,495.02
546.228,381.65,437.68,513.75
546.655,379.31,428.32,457.57
547.083,428.46,404.91,443.53
547.511,407.4,454.06,516.09
547.938,447.19,428.32,504.39
548.366,416.76,477.47,427.15
548.793,407.4,456.4,541.83
549.221,360.59,458.74,436.51
549.648,383.99,407.25,429.49
550.075,348.89,472.79,443.53
550.503,383.99,425.98,436.51
550.93,407.4,440.02,410.76
551.357,402.72,454.06,445.87
551.784,407.4,423.64,420.13
552.211,433.15,365.12,378
552.638,334.84,395.55,431.83
553.065,451.87,414.27,403.74
553.492,362.93,395.55,434.17
553.919,353.57,423.64,413.1
554.346,391.02,341.72,466.94
554.773,376.97,444.7,438.85
555.2,416.76,414.27,394.38
555.626,353.57,433,361.61
556.053,337.18,416.62,417.79
556.479,433.15,402.57,408.42
556.906,416.76,402.57,434.17
557.333,372.29,428.32,495.02
557.759,400.38,425.98,429.49
558.185,379.31,393.21,462.26
558.612,393.36,407.25,443.53
559.038,444.85,407.25,448.21
559.464,409.74,444.7,438.85
559.891,360.59,397.89,413.1
560.317,402.72,433,420.13
560.743,393.36,400.23,476.3
561.169,365.27,433,513.75
561.595,376.97,482.15,408.42
562.021,409.74,386.19,408.42
562.447,501.02,437.68,375.66
562.873,433.15,428.32,511.41
563.299,379.31,503.22,480.98
563.725,433.15,456.4,403.74
564.15,423.78,423.64,450.55
564.576,402.72,454.06,509.07
565.002,463.57,428.32,410.76
565.427,533.79,461.09,438.85
565.853,447.19,491.51,373.32
566.279,461.23,461.09,438.85
566.704,437.83,437.68,480.98
567.13,426.12,407.25,478.64
567.555,489.32,479.81,483.32
567.98,461.23,451.72,457.57
568.406,531.45,451.72,434.17
568.831,421.44,423.64,406.08
569.256,470.59,435.34,441.19
569.681,505.7,486.83,443.53
570.106,505.7,498.53,403.74
570.531,522.09,416.62,382.68
570.956,430.8,484.49,471.62
